trial_id,molecule,indication,phase,status,sponsor,country
CT-000001,MOLR3,Respiratory,Phase IV,Completed,OncoGenix,Canada
CT-000002,MOLM2,Psoriasis,Phase I,Completed,MedLife Corp,EU
CT-000003,MOL2,Respiratory,Phase III,Terminated,ABC Pharma,Brazil
CT-000004,MOLDEP3,COPD,Phase IV,Completed,GlobalBio,Canada
CT-000005,MOLH1,Lung Cancer,Phase I,Suspended,XYZ Pharma,India
CT-000006,MOL1,Osteoporosis,Phase I,Recruiting,XYZ Pharma,Brazil
CT-000007,MOLP2,Breast Cancer,Phase III,Active,Sunrise Therapeutics,Global
CT-000008,MOLX,Breast Cancer,Phase I,Active,Sunrise Therapeutics,Australia
CT-000009,MOLIBD1,Type 2 Diabetes,Phase IV,Active,GlobalBio,Australia
CT-000010,MOLIBD1,Asthma,Phase IV,Completed,Sunrise Therapeutics,Australia
CT-000011,MOL2,Rheumatoid Arthritis,Phase I,Recruiting,NovaCure,US
CT-000012,MOLLC1,Lung Cancer,Phase I,Suspended,OncoGenix,Canada
CT-000013,MOLD3,Inflammatory Bowel Disease,Phase II,Completed,OncoGenix,US
CT-000014,MOLCKD3,Respiratory,Phase IV,Recruiting,Sunrise Therapeutics,India
CT-000015,MOLHF3,COPD,Phase I,Completed,MedLife Corp,Japan
CT-000016,MOLIBD1,Hypertension,Phase III,Suspended,Sunrise Therapeutics,Global
CT-000017,MOLR1,Asthma,Phase II,Suspended,Sunrise Therapeutics,India
CT-000018,MOLLC3,COPD,Phase IV,Terminated,XYZ Pharma,Global
CT-000019,MOLLC1,Migraine,Phase IV,Terminated,MedLife Corp,China
CT-000020,MOLP1,Lung Cancer,Phase II,Active,PrimeCare,China
CT-000021,MOLX,Psoriasis,Phase I,Suspended,ABC Pharma,Brazil
CT-000022,MOLRA3,Breast Cancer,Phase I,Active,Sunrise Therapeutics,Global
CT-000023,MOL2,Osteoporosis,Phase I,Terminated,Sunrise Therapeutics,EU
CT-000024,MOLCKD2,Depression,Phase IV,Suspended,MedLife Corp,EU
CT-000025,MOLM2,Inflammatory Bowel Disease,Phase I,Suspended,GlobalBio,EU
CT-000026,MOLCKD2,Type 2 Diabetes,Phase II,Recruiting,OncoGenix,Global
CT-000027,MOLH1,Hypertension,Phase II,Suspended,GlobalBio,US
CT-000028,MOL2,Heart Failure,Phase II,Terminated,ABC Pharma,China
CT-000029,MOLLC3,Lung Cancer,Phase I,Active,OncoGenix,US
CT-000030,MOLLC2,Osteoporosis,Phase III,Terminated,Sunrise Therapeutics,Global
CT-000031,MOLHF3,Inflammatory Bowel Disease,Phase I,Recruiting,ABC Pharma,EU
CT-000032,MOLRA1,Depression,Phase II,Suspended,GlobalBio,Global
CT-000033,MOLDEP2,Breast Cancer,Phase II,Terminated,PrimeCare,India
CT-000034,MOLA,Migraine,Phase II,Suspended,GlobalBio,EU
CT-000035,MOLY,Rheumatoid Arthritis,Phase III,Completed,MedLife Corp,Canada
CT-000036,MOLIBD2,Migraine,Phase IV,Completed,ABC Pharma,China
CT-000037,MOLD2,Hypertension,Phase III,Suspended,OncoGenix,EU
CT-000038,MOLP1,Type 2 Diabetes,Phase IV,Terminated,GlobalBio,Brazil
CT-000039,MOLBC2,Psoriasis,Phase I,Suspended,PrimeCare,Japan
CT-000040,MOLO1,Psoriasis,Phase IV,Recruiting,NovaCure,China
CT-000041,MOLD3,Type 2 Diabetes,Phase II,Recruiting,NovaCure,EU
CT-000042,MOL1,COPD,Phase III,Suspended,PrimeCare,Japan
CT-000043,MOLD1,Chronic Kidney Disease,Phase II,Recruiting,MedLife Corp,China
CT-000044,MOLD1,Breast Cancer,Phase I,Terminated,PrimeCare,Australia
CT-000045,MOLX,COPD,Phase III,Suspended,PrimeCare,Japan
CT-000046,MOLO1,Chronic Kidney Disease,Phase IV,Completed,ABC Pharma,Canada
CT-000047,MOLD2,Migraine,Phase I,Suspended,MedLife Corp,Australia
CT-000048,MOLM1,Respiratory,Phase III,Active,GlobalBio,Canada
CT-000049,MOLCKD1,Migraine,Phase IV,Terminated,XYZ Pharma,US
CT-000050,MOL2,Depression,Phase I,Terminated,PrimeCare,China
CT-000051,MOLCKD1,Migraine,Phase I,Completed,XYZ Pharma,Japan
CT-000052,MOLHF2,Inflammatory Bowel Disease,Phase III,Recruiting,NovaCure,Japan
CT-000053,MOLP1,Hypertension,Phase I,Recruiting,NovaCure,China
CT-000054,MOLX,Lung Cancer,Phase IV,Recruiting,PrimeCare,Global
CT-000055,MOLLC1,Respiratory,Phase III,Terminated,Sunrise Therapeutics,EU
CT-000056,MOLLC2,Inflammatory Bowel Disease,Phase IV,Terminated,XYZ Pharma,Brazil
CT-000057,MOLHF3,Psoriasis,Phase IV,Terminated,Sunrise Therapeutics,Global
CT-000058,MOLM1,Inflammatory Bowel Disease,Phase I,Active,XYZ Pharma,Brazil
CT-000059,MOLLC2,Osteoporosis,Phase III,Completed,OncoGenix,Japan
CT-000060,MOLIBD3,COPD,Phase I,Completed,XYZ Pharma,Japan
CT-000061,MOLBC2,Breast Cancer,Phase I,Active,Sunrise Therapeutics,China
CT-000062,MOLHF3,Heart Failure,Phase II,Suspended,NovaCure,India
CT-000063,MOLDEP2,Heart Failure,Phase II,Suspended,OncoGenix,Japan
CT-000064,MOLO3,Depression,Phase II,Completed,NovaCure,Japan
CT-000065,MOLRA1,Heart Failure,Phase III,Terminated,MedLife Corp,India
CT-000066,MOLX,Psoriasis,Phase II,Terminated,PrimeCare,Japan
CT-000067,MOLBC3,Osteoporosis,Phase IV,Suspended,NovaCure,Brazil
CT-000068,MOLA,Respiratory,Phase III,Suspended,XYZ Pharma,Japan
CT-000069,MOLM2,Lung Cancer,Phase III,Terminated,MedLife Corp,Australia
CT-000070,MOLD1,Migraine,Phase IV,Completed,OncoGenix,Canada
CT-000071,MOLRA2,Depression,Phase IV,Active,MedLife Corp,Global
CT-000072,MOLLC2,Migraine,Phase I,Active,GlobalBio,Brazil
CT-000073,MOLM1,Heart Failure,Phase II,Terminated,Sunrise Therapeutics,EU
CT-000074,MOLY,Asthma,Phase I,Active,NovaCure,Global
CT-000075,MOLD3,Depression,Phase III,Suspended,Sunrise Therapeutics,Global
CT-000076,MOLRA1,Rheumatoid Arthritis,Phase I,Suspended,OncoGenix,Brazil
CT-000077,MOLA,Migraine,Phase III,Active,Sunrise Therapeutics,Canada
CT-000078,MOLLC2,Psoriasis,Phase I,Completed,XYZ Pharma,Canada
CT-000079,MOLD3,Depression,Phase I,Suspended,GlobalBio,Global
CT-000080,MOLIBD1,Hypertension,Phase I,Recruiting,GlobalBio,China
CT-000081,MOLM2,Migraine,Phase III,Completed,GlobalBio,Brazil
CT-000082,MOLDEP2,Osteoporosis,Phase IV,Terminated,ABC Pharma,Canada
CT-000083,MOLA,Osteoporosis,Phase II,Suspended,ABC Pharma,Canada
CT-000084,MOLA,Psoriasis,Phase II,Active,ABC Pharma,Brazil
CT-000085,MOLM1,Depression,Phase IV,Terminated,PrimeCare,Canada
CT-000086,MOLDEP1,Depression,Phase IV,Recruiting,OncoGenix,Japan
