molecule,formulation,country,year,import_tonnes,export_tonnes
MOLRA2,Ointment,India,2018,150.99,17.62
MOLDEP2,Tablet,Australia,2015,74.02,129.2
MOLM1,API,Global,2023,104.42,142.27
MOLR3,Capsule,China,2023,153.44,90.87
MOLHF2,Patch,US,2020,178.61,156.84
MOLDEP2,Tablet,India,2022,140.31,133.33
MOLR1,Inhaler,India,2021,70.99,194.57
MOLBC3,Suspension,India,2018,62.84,183.04
MOLCKD2,Injection,EU,2021,118.26,198.06
MOLBC3,Tablet,Global,2016,132.95,145.79
MOLX,Capsule,Japan,2020,67.59,167.68
MOLCKD2,Inhaler,Australia,2015,48.41,154.74
MOLM1,Suspension,Canada,2020,87.01,98.09
MOLBC3,Inhaler,Australia,2016,193.09,102.45
MOLM3,Inhaler,EU,2017,128.15,70.86
MOLD1,Tablet,India,2023,154.21,118.16
MOLH1,Inhaler,China,2024,93.19,181.41
MOLH1,Syrup,China,2021,195.07,148.46
MOLD3,Capsule,Canada,2023,189.1,28.36
MOLD1,Syrup,US,2023,120.33,16.68
MOLBC1,API,Japan,2020,155.05,0.28
MOLA,Suspension,Brazil,2024,24.9,35.28
MOLDEP1,Inhaler,EU,2022,107.32,20.03
MOLIBD3,Tablet,Australia,2024,110.44,189.22
MOLR2,Inhaler,Brazil,2017,88.45,69.51
MOLO2,API,China,2017,23.67,26.71
MOLH3,Patch,EU,2015,85.41,13.53
MOLHF3,Ointment,Canada,2018,10.05,157.6
MOLR1,API,China,2015,54.99,38.87
MOLIBD1,Capsule,India,2019,172.2,170.69
MOLD1,Capsule,India,2018,28.33,62.45
MOLCKD3,Syrup,Global,2023,52.37,25.73
MOLHF1,Tablet,US,2021,179.03,167.69
MOLRA3,Ointment,Global,2024,98.02,80.91
MOL2,Tablet,US,2017,19.28,118.32
MOLD3,Patch,US,2022,38.36,120.97
MOLRA2,Patch,Canada,2016,154.72,53.4
MOLIBD1,API,Brazil,2023,178.58,198.24
MOLM3,Inhaler,China,2020,58.21,72.18
MOLH1,Suspension,EU,2016,5.68,188.89
MOLD2,Injection,EU,2019,154.63,61.03
MOLC,API,EU,2024,20.73,79.77
MOLCKD1,Patch,China,2018,73.03,172.24
MOLC,Tablet,Canada,2016,10.74,0.32
MOLM1,Patch,EU,2016,194.85,175.49
MOLR2,Ointment,Canada,2023,180.58,93.82
MOLP2,Suspension,EU,2024,1.17,22.25
MOLHF2,Suspension,Australia,2022,128.51,166.74
MOLHF1,Inhaler,Canada,2015,193.32,191.82
MOLHF3,Capsule,EU,2016,119.76,155.57
MOLRA2,Suspension,Japan,2017,50.64,93.1
MOLH3,Injection,US,2021,33.37,56.9
MOL1,API,EU,2024,197.75,56.11
MOLP2,Patch,Japan,2020,62.38,93.38
MOLM3,Injection,US,2019,3.43,22.99
MOLC,API,Canada,2023,114.93,74.39
MOLHF1,Tablet,Canada,2019,18.32,11.35
MOLLC3,Injection,China,2018,191.7,67.41
MOLDEP2,Tablet,Canada,2015,98.81,43.4
MOLY,Suspension,EU,2017,189.23,50.11
MOLY,Suspension,Brazil,2017,153.93,189.38
MOLP2,Patch,India,2017,142.43,49.68
MOLR2,Suspension,India,2017,34.95,152.22
MOLM1,Capsule,China,2024,153.34,49.28
MOLLC3,Ointment,Japan,2015,132.44,73.08
MOLIBD3,Capsule,Australia,2016,166.71,117.18
