molecule,indication,country,year,sales_usd_mn,cagr_5y,competitors,patient_burden_index
MOLX,Migraine,Canada,2015,235.95,-0.39,9,0.84
MOLR2,Lung Cancer,Global,2019,823.36,17.25,7,0.61
MOLH1,Type 2 Diabetes,EU,2023,229.49,13.54,4,0.93
MOLDEP2,Chronic Kidney Disease,EU,2023,527.8,0.79,20,0.33
MOLX,Rheumatoid Arthritis,India,2020,200.65,-4.63,4,0.78
MOLRA1,Type 2 Diabetes,Global,2016,918.78,16.62,16,0.37
MOLR3,Heart Failure,US,2022,292.31,14.93,11,0.44
MOLHF3,Rheumatoid Arthritis,Australia,2020,591.57,0.95,2,0.8
MOLO3,Respiratory,Brazil,2018,34.18,-4.19,9,0.57
MOLRA2,Heart Failure,US,2017,23.12,4.53,7,0.65
MOLH1,Lung Cancer,Australia,2023,624.16,1.65,11,0.59
MOLHF1,Psoriasis,Brazil,2018,448.69,4.9,14,0.22
MOLRA3,Rheumatoid Arthritis,Japan,2021,947.19,5.88,20,0.61
MOLRA1,Rheumatoid Arthritis,Japan,2020,88.94,7.21,14,0.68
MOL2,Chronic Kidney Disease,India,2019,316.75,-4.85,22,0.26
MOLCKD2,Respiratory,Australia,2023,844.01,18.76,8,0.45
MOLH3,Osteoporosis,China,2018,815.87,14.97,20,0.38
MOLDEP3,Psoriasis,US,2015,168.51,16.83,11,0.34
MOLO1,Asthma,Canada,2020,440.23,16.46,2,0.48
MOLR2,Lung Cancer,Canada,2020,276.57,12.2,23,0.32
MOLHF1,Chronic Kidney Disease,Japan,2017,258.87,0.75,15,0.46
MOLBC2,Depression,Canada,2019,754.65,2.37,14,0.96
MOL2,Psoriasis,Australia,2021,694.49,-1.19,13,0.57
MOLR1,Migraine,Australia,2023,196.52,7.6,7,0.72
MOLD3,Type 2 Diabetes,Japan,2017,955.8,13.12,8,0.98
MOLA,Breast Cancer,India,2018,918.98,-2.99,7,0.88
MOLR3,Respiratory,Global,2016,788.98,17.39,16,0.23
MOLLC3,Osteoporosis,EU,2017,362.19,11.48,1,0.41
MOLRA1,Depression,US,2024,476.82,0.18,7,0.95
MOLO3,Depression,US,2022,306.31,-1.8,22,0.29
MOLA,Chronic Kidney Disease,India,2015,767.89,0.99,20,0.31
MOLLC1,Migraine,Canada,2019,405.95,15.12,11,0.56
MOLM3,Migraine,Global,2022,622.58,19.03,19,0.37
MOLP1,Chronic Kidney Disease,Australia,2021,101.66,13.91,6,0.41
MOLCKD3,Hypertension,China,2024,412.55,6.03,20,0.82
MOLO3,Inflammatory Bowel Disease,China,2017,228.25,-3.36,12,0.26
MOL2,Respiratory,Australia,2017,781.83,0.74,2,0.56
MOLLC1,Hypertension,EU,2015,282.67,16.31,5,0.99
